ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
2501,MH485,0.0,0.0,162967.03,579711.21,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2502,MH486,0.0,0.0,164454.73,578681.68,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2503,MH487,0.0,0.0,162978.66,579734.27,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2504,MH488,0.0,0.0,162978.75,579720.45,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2505,MH489,0.0,0.0,163081.43,580380.77,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2506,MH490,0.0,0.0,163983.96,580600.47,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2507,MH491,0.0,0.0,163981.79,580614.29,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2508,MH492,0.0,0.0,164217.98,578873.15,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2509,MH493,0.0,0.0,164105.6,578604.36,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2510,MH494,0.0,0.0,164165.11,578598.14,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2512,MH496,0.0,0.0,164943.02,579527.14,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),False,
2515,MH499,0.0,0.0,165087.02,579959.15,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),False,
2519,MH503,0.0,0.0,164275.89,581147.98,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2522,MH504,127.28,127.28,163968.52,580522.59,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2526,MH507,0.0,0.0,163174.54,579817.76,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2529,MH510,0.0,0.0,163171.0,579782.06,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2530,MH511,0.0,0.0,163599.38,579905.42,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2532,MH513,0.0,0.0,164126.72,579808.42,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2533,MH514,0.0,0.0,163732.36,581115.25,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
